"fakt_anzahl_artikel","fakt_preis_artikel","artikelbeschreibung","name_land","datum"
1.00,3.81,"3 GARDENIA MORRIS BOXED CANDLES",Vereinigtes Königreich,2009-12-04
1.00,2.95,"3 HERZEN, DIE DIE ENTWICKLUNG RUSTISCHER HERZEN ENTWICKLEN",Vereinigtes Königreich,2009-12-03
2.00,17.00,"3 HOOK FOTO SHELF ANTIQUE WEISSE",Vereinigtes Königreich,2009-12-01
2.00,17.00,"3 HOOK FOTO SHELF ANTIQUE WEISSE",Vereinigtes Königreich,2009-12-06
8.00,13.20,"3 PIECE JIGSAW TOADSTOOLS",Belgien,2009-12-06
8.00,13.20,"3 PIECE JIGSAW TOADSTOOLS",Deutschland,2009-12-01
8.00,13.20,"3 PIECE JIGSAW TOADSTOOLS",Vereinigtes Königreich,2009-12-01
8.00,13.20,"3 PIECE JIGSAW TOADSTOOLS",Vereinigtes Königreich,2009-12-03
5.00,8.25,"3 STRIPEY MICE FELTCRAFT",Vereinigtes Königreich,2009-12-01
16.00,26.40,"3 STRIPEY MICE FELTCRAFT",Vereinigtes Königreich,2009-12-02
100.00,165.00,"3 STRIPEY MICE FELTCRAFT",Vereinigtes Königreich,2009-12-03
7.00,11.55,"3 STRIPEY MICE FELTCRAFT",Vereinigtes Königreich,2009-12-04
1.00,1.65,"3 STRIPEY MICE FELTCRAFT",Vereinigtes Königreich,2009-12-06
2.00,8.50,"3 WEISSE CHOC MORRIS BOXED CANDLES",Vereinigtes Königreich,2009-12-06
16.00,60.00,"3 WICK CHRISTMAS BRIAR CANDLE",Vereinigtes Königreich,2009-12-01
5.00,18.75,"3 WICK CHRISTMAS BRIAR CANDLE",Vereinigtes Königreich,2009-12-02
1.00,3.75,"3 WICK CHRISTMAS BRIAR CANDLE",Vereinigtes Königreich,2009-12-04
6.00,22.50,"3 WICK CHRISTMAS BRIAR CANDLE",Vereinigtes Königreich,2009-12-06
6.00,22.50,"4 LAVENDER BOTANISCHE DINNERKANDELN",Irland,2009-12-01
2.00,7.50,"4 LAVENDER BOTANISCHE DINNERKANDELN",Vereinigtes Königreich,2009-12-02
1.00,3.75,"4 LILY BOTANISCHE DINNERKANDELN",Vereinigtes Königreich,2009-12-02
2.00,7.50,"4 LILY BOTANISCHE DINNERKANDELN",Vereinigtes Königreich,2009-12-03
6.00,22.50,"4 VANILLA BOTANISCHE KANDELN",Irland,2009-12-01
6.00,22.50,"4 VANILLA BOTANISCHE KANDELN",Vereinigtes Königreich,2009-12-02
2.00,7.50,"4 VANILLA BOTANISCHE KANDELN",Vereinigtes Königreich,2009-12-03
12.00,45.00,"4 VANILLA BOTANISCHE KANDELN",Vereinigtes Königreich,2009-12-06
3.00,7.65,"4 VIORY DINNER KANDELN GOLD FLOCK",Vereinigtes Königreich,2009-12-01
11.00,28.05,"4 VIORY DINNER KANDELN GOLD FLOCK",Vereinigtes Königreich,2009-12-03
6.00,15.30,"4 VIORY DINNER KANDELN GOLD FLOCK",Vereinigtes Königreich,2009-12-04
12.00,30.60,"4 VIORY DINNER KANDELN GOLD FLOCK",Vereinigtes Königreich,2009-12-06
16.00,40.80,"4 VIORY DINNER KANDLES SILVER FLOCK",Vereinigtes Königreich,2009-12-01
2.00,5.10,"4 VIORY DINNER KANDLES SILVER FLOCK",Vereinigtes Königreich,2009-12-02
8.00,20.40,"4 VIORY DINNER KANDLES SILVER FLOCK",Vereinigtes Königreich,2009-12-03
4.00,10.20,"4 VIORY DINNER KANDLES SILVER FLOCK",Vereinigtes Königreich,2009-12-04
6.00,22.50,"4 WILDFLOWER BOTANISCHE KANDELN",Irland,2009-12-01
2.00,7.50,"4 WILDFLOWER BOTANISCHE KANDELN",Vereinigtes Königreich,2009-12-02
12.00,45.00,"4 WILDFLOWER BOTANISCHE KANDELN",Vereinigtes Königreich,2009-12-06
5.00,49.75,"5 HOOK BLACKBOARD ORGANISER",Vereinigtes Königreich,2009-12-03
1.00,9.95,"5 HOOK BLACKBOARD ORGANISER",Vereinigtes Königreich,2009-12-04
2.00,19.90,"5 HOOK BLACKBOARD ORGANISER",Vereinigtes Königreich,2009-12-06
2.00,12.70,"5 STRANDGLAS NECKLACKRYSTAL",Vereinigtes Königreich,2009-12-01
48.00,26.40,"60 FÄHIGKEIT FÄHIGKEITEN",Irland,2009-12-01
24.00,13.20,"60 FÄHIGKEIT FÄHIGKEITEN",Irland,2009-12-03
120.00,66.00,"60 FÄHIGKEIT FÄHIGKEITEN",Vereinigtes Königreich,2009-12-01
155.00,85.25,"60 FÄHIGKEIT FÄHIGKEITEN",Vereinigtes Königreich,2009-12-02
174.00,95.70,"60 FÄHIGKEIT FÄHIGKEITEN",Vereinigtes Königreich,2009-12-03
96.00,52.80,"60 FÄHIGKEIT FÄHIGKEITEN",Vereinigtes Königreich,2009-12-04
24.00,13.20,"60 FÄHIGKEIT FÄHIGKEITEN",Vereinigtes Königreich,2009-12-06
24.00,13.20,"60 GOLD UND SILVER FAIRY CASE RECHTSSACHEN",Niederlande,2009-12-04
24.00,13.20,"60 GOLD UND SILVER FAIRY CASE RECHTSSACHEN",Portugal,2009-12-01
24.00,13.20,"60 GOLD UND SILVER FAIRY CASE RECHTSSACHEN",Vereinigtes Königreich,2009-12-01
120.00,66.00,"60 GOLD UND SILVER FAIRY CASE RECHTSSACHEN",Vereinigtes Königreich,2009-12-02
32.00,17.60,"60 GOLD UND SILVER FAIRY CASE RECHTSSACHEN",Vereinigtes Königreich,2009-12-03
6.00,10.14,"6 CHOCOLATE LIEBE HERZEN T-LICHT",Vereinigtes Königreich,2009-12-01
48.00,81.12,"6 CHOCOLATE LIEBE HERZEN T-LICHT",Vereinigtes Königreich,2009-12-02
78.00,131.82,"6 CHOCOLATE LIEBE HERZEN T-LICHT",Vereinigtes Königreich,2009-12-03
2.00,15.90,"6 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-01
6.00,47.70,"6 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-03
1.00,7.95,"6 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-04
2.00,15.90,"6 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-05
24.00,46.80,"6 HOOK JEWELLERY STAND BLACK DRESS",Vereinigtes Königreich,2009-12-01
12.00,23.40,"6 HOOK JEWELLERY STAND BLACK DRESS",Vereinigtes Königreich,2009-12-02
96.00,187.20,"6 HOOK JEWELLERY STAND BLACK DRESS",Vereinigtes Königreich,2009-12-04
1.00,8.49,"6 HOOK JEWEL STAND LILAC DRESS",Vereinigtes Königreich,2009-12-02
36.00,45.00,"6 KRAFTSTRASSERIEN",Deutschland,2009-12-06
12.00,15.00,"6 KRAFTSTRASSERIEN",Vereinigtes Königreich,2009-12-01
3.00,3.75,"6 KRAFTSTRASSERIEN",Vereinigtes Königreich,2009-12-02
12.00,15.00,"6 KRAFTSTRASSERIEN",Vereinigtes Königreich,2009-12-03
1.00,1.25,"6 KRAFTSTRASSERIEN",Vereinigtes Königreich,2009-12-06
3.00,4.95,"6 RIBBONS ELEGANTE CHRISTMAS",Vereinigtes Königreich,2009-12-01
27.00,44.55,"6 RIBBONS ELEGANTE CHRISTMAS",Vereinigtes Königreich,2009-12-02
12.00,19.80,"6 RIBBONS ELEGANTE CHRISTMAS",Vereinigtes Königreich,2009-12-03
1.00,1.65,"6 RIBBONS ELEGANTE CHRISTMAS",Vereinigtes Königreich,2009-12-04
1.00,1.65,"6 RIBBONS ELEGANTE CHRISTMAS",Vereinigtes Königreich,2009-12-06
1.00,0.00,"6 RIBBONS EMPIRE",Vereinigtes Königreich,2009-12-01
15.00,0.00,"6 RIBBONS EMPIRE",Vereinigtes Königreich,2009-12-02
24.00,0.00,"6 RIBBONS EMPIRE",Vereinigtes Königreich,2009-12-03
12.00,0.00,"6 RIBBONS EMPIRE",Vereinigtes Königreich,2009-12-05
2.00,0.00,"6 RIBBONS EMPIRE",Vereinigtes Königreich,2009-12-06
12.00,19.80,"6 RIBBONS RUSTIC CHARM",Deutschland,2009-12-01
10.00,16.50,"6 RIBBONS RUSTIC CHARM",Vereinigtes Königreich,2009-12-01
1.00,1.65,"6 RIBBONS RUSTIC CHARM",Vereinigtes Königreich,2009-12-04
12.00,19.80,"6 RIBBONS SHIMMERING PINKS",Vereinigtes Königreich,2009-12-03
1.00,1.45,"72 GEWÄHRTE TÄTIGKEITEN",Vereinigtes Königreich,2009-12-01
48.00,20.16,"72 SCHWEIZART FAIRY CAKE RECHTSSACHEN",Vereinigtes Königreich,2009-12-01
225.00,94.50,"72 SCHWEIZART FAIRY CAKE RECHTSSACHEN",Vereinigtes Königreich,2009-12-02
58.00,24.36,"72 SCHWEIZART FAIRY CAKE RECHTSSACHEN",Vereinigtes Königreich,2009-12-03
1.00,0.55,"75 GRÜNE FAIRY CASE RECHTSSACHEN",Vereinigtes Königreich,2009-12-02
1.00,0.55,"75 GRÜNE FAIRY CASE RECHTSSACHEN",Vereinigtes Königreich,2009-12-04
24.00,10.08,"75 GRÜNES PETIT VIER RECHTSSACHEN",Irland,2009-12-03
24.00,13.20,"75 SCHWARZE FAIRY CAKE RECHTSSACHEN",Vereinigtes Königreich,2009-12-03
13.00,5.46,"75 SCHWARZES PETIT VIER RECHTSSACHEN",Vereinigtes Königreich,2009-12-03
12.00,19.80,ABSTRAKTZIEHUNGEN HINWEIS,Vereinigtes Königreich,2009-12-01
6.00,9.90,ABSTRAKTZIEHUNGEN HINWEIS,Vereinigtes Königreich,2009-12-03
1.00,1.65,ABSTRAKTZIEHUNGEN HINWEIS,Vereinigtes Königreich,2009-12-04
18.00,45.90,ABSTRAKTZIEHZEITSCHRIFT,Vereinigtes Königreich,2009-12-01
6.00,15.30,ABSTRAKTZIEHZEITSCHRIFT,Vereinigtes Königreich,2009-12-02
3.00,2.55,ABSTRAKTZIRKLEN POCKET BUCH,Vereinigtes Königreich,2009-12-01
2.00,1.70,ABSTRAKTZIRKLEN POCKET BUCH,Vereinigtes Königreich,2009-12-04
8.00,30.00,ABSTRAKTZIRKLEN SKETCHBOOK,Spanien,2009-12-04
4.00,15.00,ABSTRAKTZIRKLEN SKETCHBOOK,Vereinigtes Königreich,2009-12-03
3.00,3.75,ACHTPIEZE CREEpy CRAWLIE SET,Vereinigtes Königreich,2009-12-01
1.00,1.25,ACHTPIEZE CREEpy CRAWLIE SET,Vereinigtes Königreich,2009-12-02
1.00,1.25,ACHTPIEZE CREEpy CRAWLIE SET,Vereinigtes Königreich,2009-12-04
12.00,15.00,ACHTPIEZE DINOSAUR SET,Frankreich,2009-12-02
27.00,33.75,ACHTPIEZE DINOSAUR SET,Vereinigtes Königreich,2009-12-01
12.00,15.00,ACHTPIEZE DINOSAUR SET,Vereinigtes Königreich,2009-12-03
58.00,72.50,ACHTPIEZE DINOSAUR SET,Vereinigtes Königreich,2009-12-04
3.00,3.75,ACHTPIEZE SNAKE SET,Vereinigtes Königreich,2009-12-01
1.00,1.25,ACHTPIEZE SNAKE SET,Vereinigtes Königreich,2009-12-02
36.00,60.84,ACHTUNG DER CAT METAL SIGN,Portugal,2009-12-01
2.00,3.38,ACHTUNG DER CAT METAL SIGN,Vereinigtes Königreich,2009-12-02
19.00,32.11,ACHTUNG DER CAT METAL SIGN,Vereinigtes Königreich,2009-12-03
24.00,40.56,ACHTUNG DER CAT METAL SIGN,Vereinigtes Königreich,2009-12-04
1.00,1.69,ACHTUNG DER CAT METAL SIGN,Vereinigtes Königreich,2009-12-06
1.00,2.55,"ACRYLIC JEWEL SNOWFLAKE,BLUE",Vereinigtes Königreich,2009-12-03
60.00,207.00,AFGHAN SLIPPER SOCK PAIR,Vereinigtes Königreich,2009-12-02
40.00,138.00,AFGHAN SLIPPER SOCK PAIR,Vereinigtes Königreich,2009-12-04
3.00,6.30,"AIRLINE LOUNGE, METAL SIGN",Vereinigtes Königreich,2009-12-01
1.00,2.10,"AIRLINE LOUNGE, METAL SIGN",Vereinigtes Königreich,2009-12-04
6.00,5.10,ALPHABETISCHES HERZEN,Vereinigtes Königreich,2009-12-03
2.00,1.70,ALPHABETISCHES HERZEN,Vereinigtes Königreich,2009-12-04
6.00,17.70,ALTE ROSE KOMBO BEAD NECKLACE,Vereinigtes Königreich,2009-12-01
1.00,2.10,ALTES DOC.RUSSEL METAL SIGN,Vereinigtes Königreich,2009-12-03
1.00,2.10,AMBER BERTIE GLAS BEAD BAG CHARM,Vereinigtes Königreich,2009-12-02
2.00,17.90,AMBER CHUNKY BEAD BRACELET W STRAP,Vereinigtes Königreich,2009-12-06
1.00,11.95,AMBER CHUNKY GLAS+BEAD NECKLACE,Vereinigtes Königreich,2009-12-03
1.00,8.95,AMETHYST CHUNKY BEAD BRACELET W STR,Vereinigtes Königreich,2009-12-03
62.00,26.04,ANGEL DECORATION 3 BUTTONS,Vereinigtes Königreich,2009-12-01
5.00,2.10,ANGEL DECORATION 3 BUTTONS,Vereinigtes Königreich,2009-12-03
288.00,158.40,ANGEL DECORATION GEZEICHNET ZINC,Niederlande,2009-12-02
25.00,13.75,ANGEL DECORATION GEZEICHNET ZINC,Vereinigtes Königreich,2009-12-01
26.00,14.30,ANGEL DECORATION GEZEICHNET ZINC,Vereinigtes Königreich,2009-12-02
24.00,13.20,ANGEL DECORATION GEZEICHNET ZINC,Vereinigtes Königreich,2009-12-03
5.00,2.75,ANGEL DECORATION GEZEICHNET ZINC,Vereinigtes Königreich,2009-12-04
24.00,20.40,ANGEL DECORATION MIT LACE PADDED,Vereinigtes Königreich,2009-12-02
4.00,3.40,ANGEL DECORATION MIT LACE PADDED,Vereinigtes Königreich,2009-12-03
28.00,23.80,ANGEL DECORATION MIT LACE PADDED,Vereinigtes Königreich,2009-12-04
1.00,0.85,ANGEL DECORATION MIT LACE PADDED,Vereinigtes Königreich,2009-12-06
48.00,20.16,ANGEL DECORATION STARTS AUF DRESS,Vereinigtes Königreich,2009-12-01
48.00,20.16,ANGEL DECORATION STARTS AUF DRESS,Vereinigtes Königreich,2009-12-02
48.00,20.16,ANGEL DECORATION STARTS AUF DRESS,Vereinigtes Königreich,2009-12-04
6.00,12.60,ANMERKUNG DER VEREINIGTEN TUTTI-FRUTTI,Vereinigtes Königreich,2009-12-01
19.00,39.90,ANMERKUNG DER VEREINIGTEN TUTTI-FRUTTI,Vereinigtes Königreich,2009-12-02
12.00,25.20,ANMERKUNG DER VEREINIGTEN TUTTI-FRUTTI,Vereinigtes Königreich,2009-12-03
24.00,50.40,ANMERKUNG DER VEREINIGTEN TUTTI-FRUTTI,Vereinigtes Königreich,2009-12-04
0.00,0.00,ANMERKUNG DES VEREINIGTEN MINI-MADRAS,Vereinigtes Königreich,2009-12-04
18.00,22.50,ANMERKUNG DES VEREINIGTEN SANSKRIT-MINISTERS,Irland,2009-12-01
18.00,22.50,ANMERKUNG DES VEREINIGTEN SANSKRIT-MINISTERS,Vereinigtes Königreich,2009-12-05
24.00,20.40,ANMERKUNG DES VEREINIGTEN TUTTI-FRUTTI-FOBS,Vereinigtes Königreich,2009-12-01
24.00,20.40,ANMERKUNG DES VEREINIGTEN TUTTI-FRUTTI-FOBS,Vereinigtes Königreich,2009-12-02
25.00,21.25,ANMERKUNG DES VEREINIGTEN TUTTI-FRUTTI-FOBS,Vereinigtes Königreich,2009-12-03
24.00,20.40,ANMERKUNG DES VEREINIGTEN TUTTI-FRUTTI-FOBS,Vereinigtes Königreich,2009-12-04
1.00,2.95,ANMERKUNG ÜBER VINTAGEBEAD,Vereinigtes Königreich,2009-12-02
1.00,2.95,ANMERKUNG ÜBER VINTAGEBEAD,Vereinigtes Königreich,2009-12-03
6.00,29.70,ANT COPPER LIME BOUDICCA BRACELET,Vereinigtes Königreich,2009-12-06
6.00,29.70,ANT COPPER PINK BOUDICCA BRACELET,Vereinigtes Königreich,2009-12-06
6.00,29.70,ANT COPPER RED BOUDICCA BRACELET,Vereinigtes Königreich,2009-12-06
1.00,2.10,ANTIQUE ALLE GLASKANDLESTICK,Vereinigtes Königreich,2009-12-02
6.00,12.60,ANTIQUE ALLE GLASKANDLESTICK,Vereinigtes Königreich,2009-12-03
2.00,99.90,ANTIQUE EDWARDISCHER DRESSER,Zypern,2009-12-05
7.00,13.65,ANTIQUE GLAS HERZDEKORATION,Vereinigtes Königreich,2009-12-01
23.00,44.85,ANTIQUE GLAS HERZDEKORATION,Vereinigtes Königreich,2009-12-02
12.00,23.40,ANTIQUE GLAS HERZDEKORATION,Vereinigtes Königreich,2009-12-05
12.00,15.00,ANTIQUE GLAS PLATZBESCHEINIGUNG,Vereinigtes Königreich,2009-12-03
96.00,158.40,ANTIQUE GLAS RIDGED HINGING BALL,Vereinigtes Königreich,2009-12-02
54.00,229.50,ANTIQUE LILY FAIRY LIGHTS,Vereinigtes Königreich,2009-12-01
15.00,63.75,ANTIQUE LILY FAIRY LIGHTS,Vereinigtes Königreich,2009-12-02
32.00,136.00,ANTIQUE LILY FAIRY LIGHTS,Vereinigtes Königreich,2009-12-03
24.00,102.00,ANTIQUE LILY FAIRY LIGHTS,Vereinigtes Königreich,2009-12-05
6.00,25.50,ANTIQUE OLIVE GREEN FLÜHLER EARRINGS,Vereinigtes Königreich,2009-12-06
6.00,7.50,ANTIQUE SILVER TEA GLAS ENGRAVIERT,Vereinigtes Königreich,2009-12-02
24.00,30.00,ANTIQUE SILVER TEA GLAS ENGRAVIERT,Vereinigtes Königreich,2009-12-03
8.00,10.00,ANTIQUE SILVER TEA GLAS ENGRAVIERT,Vereinigtes Königreich,2009-12-04
0.00,0.00,ANTIQUE SILVER TEA GLAS ETCHED,Australien,2009-12-01
12.00,12.72,ANTIQUE SILVER TEA GLAS ETCHED,Deutschland,2009-12-01
174.00,184.44,ANTIQUE SILVER TEA GLAS ETCHED,Vereinigtes Königreich,2009-12-01
